state,state_count,datetime
Andhra Pradesh,13,2022-09-17 05:15:46.967026
Arunachal Pradesh,26,2022-09-17 05:15:46.967026
Assam,33,2022-09-17 05:15:46.967026
Bihar,38,2022-09-17 05:15:46.967026
Chhattisgarh,27,2022-09-17 05:15:46.967026
Goa ,2,2022-09-17 05:15:46.967026
Gujarat,33,2022-09-17 05:15:46.967026
Haryana,22,2022-09-17 05:15:46.967026
Himachal Pradesh,12,2022-09-17 05:15:46.967026
Jharkhand,24,2022-09-17 05:15:46.967026
Karnataka,30,2022-09-17 05:15:46.967026
Kerala,14,2022-09-17 05:15:46.967026
Madhya Pradesh,52,2022-09-17 05:15:46.967026
Maharashtra,36,2022-09-17 05:15:46.967026
Manipur,16,2022-09-17 05:15:46.967026
Meghalaya,11,2022-09-17 05:15:46.967026
Mizoram ,8,2022-09-17 05:15:46.967026
Nagaland,11,2022-09-17 05:15:46.967026
Orissa,30,2022-09-17 05:15:46.967026
Punjab,22,2022-09-17 05:15:46.967026
Rajasthan,33,2022-09-17 05:15:46.967026
Sikkim ,4,2022-09-17 05:15:46.967026
Tamil Nadu,37,2022-09-17 05:15:46.967026
Telangana,33,2022-09-17 05:15:46.967026
Tripura ,8,2022-09-17 05:15:46.967026
Uttar Pradesh,75,2022-09-17 05:15:46.967026
Uttarakhand,13,2022-09-17 05:15:46.967026
West Bengal,23,2022-09-17 05:15:46.967026
